,trial,length_minutes,sig_bins
0,3.0,80.0,11.0
1,13.0,80.0,11.0
2,11.0,80.0,14.0
3,18.0,80.0,11.0
4,4.0,80.0,12.0
5,2.0,80.0,12.0
6,19.0,80.0,13.0
7,16.0,80.0,13.0
8,10.0,80.0,17.0
9,15.0,80.0,9.0
10,8.0,80.0,9.0
11,12.0,80.0,13.0
12,9.0,80.0,11.0
13,5.0,80.0,12.0
14,14.0,80.0,15.0
15,17.0,7.0,3.0
16,12.0,7.0,1.0
17,19.0,7.0,7.0
18,2.0,7.0,4.0
19,13.0,7.0,2.0
20,4.0,7.0,1.0
21,14.0,7.0,1.0
22,7.0,7.0,1.0
23,9.0,7.0,4.0
24,8.0,7.0,1.0
25,3.0,7.0,3.0
26,14.0,500.0,17.0
27,3.0,500.0,17.0
28,8.0,500.0,14.0
29,6.0,500.0,18.0
30,2.0,500.0,15.0
31,5.0,500.0,19.0
32,17.0,500.0,13.0
33,12.0,6.0,1.0
34,2.0,6.0,4.0
35,8.0,6.0,0.0
36,13.0,6.0,2.0
37,0.0,6.0,3.0
38,6.0,6.0,3.0
39,3.0,6.0,1.0
40,7.0,6.0,1.0
41,5.0,6.0,2.0
42,15.0,6.0,3.0
43,4.0,3.0,0.0
44,9.0,3.0,
45,14.0,3.0,0.0
46,18.0,3.0,4.0
47,8.0,3.0,0.0
48,17.0,3.0,0.0
49,6.0,3.0,3.0
50,3.0,3.0,0.0
51,2.0,3.0,
52,12.0,3.0,1.0
53,5.0,3.0,0.0
54,19.0,3.0,4.0
55,7.0,3.0,1.0
56,15.0,3.0,2.0
57,8.0,400.0,15.0
58,11.0,400.0,17.0
59,5.0,400.0,18.0
60,9.0,400.0,18.0
61,4.0,400.0,14.0
62,14.0,400.0,17.0
63,2.0,400.0,15.0
64,3.0,400.0,17.0
65,15.0,400.0,14.0
66,13.0,400.0,19.0
67,7.0,400.0,12.0
68,10.0,400.0,14.0
69,6.0,400.0,17.0
70,14.0,60.0,14.0
71,3.0,60.0,11.0
72,12.0,60.0,13.0
73,4.0,60.0,11.0
74,6.0,60.0,13.0
75,16.0,60.0,8.0
76,2.0,60.0,11.0
77,9.0,60.0,9.0
78,13.0,60.0,10.0
79,19.0,60.0,10.0
80,8.0,60.0,13.0
81,0.0,60.0,12.0
82,5.0,60.0,11.0
83,5.0,5.0,1.0
84,13.0,5.0,0.0
85,12.0,5.0,1.0
86,6.0,5.0,2.0
87,7.0,5.0,1.0
88,9.0,5.0,2.0
89,3.0,5.0,0.0
90,8.0,5.0,0.0
91,2.0,5.0,4.0
92,10.0,5.0,5.0
93,15.0,5.0,4.0
94,0.0,5.0,4.0
95,8.0,2.0,0.0
96,6.0,2.0,0.0
97,4.0,2.0,
98,2.0,2.0,1.0
99,3.0,2.0,0.0
100,14.0,2.0,0.0
101,7.0,2.0,0.0
102,5.0,2.0,0.0
103,10.0,2.0,1.0
104,12.0,2.0,0.0
105,4.0,300.0,13.0
106,19.0,300.0,14.0
107,2.0,300.0,13.0
108,0.0,300.0,13.0
109,15.0,300.0,13.0
110,9.0,300.0,16.0
111,8.0,300.0,13.0
112,3.0,300.0,16.0
113,4.0,55.0,11.0
114,13.0,55.0,10.0
115,12.0,55.0,13.0
116,5.0,55.0,10.0
117,14.0,55.0,11.0
118,9.0,55.0,9.0
119,3.0,55.0,10.0
120,8.0,55.0,10.0
121,2.0,55.0,11.0
122,12.0,50.0,12.0
123,11.0,50.0,10.0
124,0.0,50.0,12.0
125,17.0,50.0,6.0
126,2.0,50.0,12.0
127,9.0,50.0,9.0
128,3.0,50.0,10.0
129,8.0,50.0,12.0
130,13.0,50.0,9.0
131,5.0,50.0,10.0
132,19.0,50.0,8.0
133,7.0,50.0,8.0
134,3.0,4.0,0.0
135,2.0,4.0,2.0
136,13.0,4.0,1.0
137,14.0,4.0,0.0
138,19.0,4.0,5.0
139,9.0,4.0,2.0
140,6.0,4.0,3.0
141,5.0,4.0,1.0
142,12.0,4.0,1.0
143,4.0,1.0,
144,8.0,1.0,
145,13.0,1.0,
146,16.0,1.0,
147,17.0,1.0,
148,18.0,1.0,
149,19.0,1.0,
150,11.0,1.0,
151,14.0,1.0,0.0
152,1.0,1.0,
153,12.0,1.0,
154,10.0,1.0,
155,15.0,1.0,
156,2.0,1.0,
157,3.0,1.0,1.0
158,9.0,1.0,
159,7.0,200.0,9.0
160,6.0,200.0,16.0
161,19.0,200.0,11.0
162,3.0,200.0,16.0
163,8.0,200.0,13.0
164,13.0,200.0,13.0
165,2.0,200.0,12.0
166,4.0,200.0,11.0
167,9.0,200.0,17.0
168,18.0,200.0,12.0
169,11.0,200.0,15.0
170,13.0,45.0,10.0
171,3.0,45.0,10.0
172,2.0,45.0,11.0
173,15.0,45.0,8.0
174,7.0,45.0,6.0
175,8.0,45.0,9.0
176,5.0,45.0,9.0
177,19.0,45.0,8.0
178,6.0,45.0,11.0
179,9.0,40.0,8.0
180,3.0,40.0,7.0
181,7.0,40.0,7.0
182,18.0,40.0,12.0
183,2.0,40.0,11.0
184,14.0,40.0,8.0
185,8.0,40.0,10.0
186,17.0,40.0,5.0
187,5.0,40.0,9.0
188,12.0,40.0,10.0
189,8.0,150.0,10.0
190,12.0,150.0,14.0
191,7.0,150.0,8.0
192,11.0,150.0,14.0
193,5.0,150.0,12.0
194,6.0,150.0,16.0
195,19.0,150.0,13.0
196,4.0,150.0,12.0
197,15.0,150.0,13.0
198,3.0,150.0,14.0
199,14.0,150.0,18.0
200,13.0,150.0,12.0
201,8.0,100.0,8.0
202,7.0,100.0,7.0
203,12.0,100.0,15.0
204,15.0,100.0,9.0
205,6.0,100.0,15.0
206,10.0,100.0,16.0
207,2.0,100.0,12.0
208,3.0,100.0,12.0
209,9.0,100.0,15.0
210,4.0,100.0,11.0
211,7.0,35.0,4.0
212,3.0,35.0,8.0
213,5.0,35.0,8.0
214,19.0,35.0,6.0
215,8.0,35.0,8.0
216,15.0,35.0,9.0
217,2.0,35.0,10.0
218,17.0,30.0,7.0
219,7.0,30.0,5.0
220,3.0,30.0,7.0
221,0.0,30.0,12.0
222,9.0,30.0,8.0
223,19.0,30.0,9.0
224,12.0,30.0,11.0
225,5.0,30.0,9.0
226,2.0,30.0,9.0
227,11.0,25.0,10.0
228,6.0,25.0,9.0
229,5.0,25.0,7.0
230,2.0,25.0,9.0
231,7.0,25.0,4.0
232,19.0,25.0,9.0
233,9.0,25.0,7.0
234,3.0,25.0,9.0
235,14.0,25.0,6.0
236,12.0,25.0,8.0
237,2.0,20.0,9.0
238,9.0,20.0,6.0
239,11.0,20.0,10.0
240,18.0,20.0,5.0
241,14.0,20.0,8.0
242,17.0,20.0,5.0
243,5.0,20.0,7.0
244,7.0,20.0,4.0
245,15.0,20.0,7.0
246,12.0,20.0,9.0
247,8.0,20.0,5.0
248,13.0,20.0,6.0
249,10.0,20.0,13.0
250,19.0,20.0,7.0
251,16.0,20.0,5.0
252,1.0,20.0,7.0
253,4.0,20.0,6.0
254,3.0,20.0,8.0
255,3.0,9.0,3.0
256,15.0,9.0,5.0
257,14.0,9.0,3.0
258,2.0,9.0,4.0
259,8.0,9.0,1.0
260,5.0,9.0,4.0
261,9.0,9.0,3.0
262,12.0,9.0,3.0
263,18.0,9.0,5.0
264,6.0,9.0,3.0
265,14.0,250.0,18.0
266,13.0,250.0,15.0
267,5.0,250.0,15.0
268,2.0,250.0,13.0
269,7.0,250.0,9.0
270,6.0,250.0,17.0
271,3.0,250.0,16.0
272,8.0,250.0,13.0
273,12.0,250.0,16.0
274,9.0,250.0,17.0
275,11.0,15.0,7.0
276,7.0,15.0,4.0
277,9.0,15.0,6.0
278,19.0,15.0,5.0
279,0.0,15.0,8.0
280,5.0,15.0,5.0
281,2.0,15.0,9.0
282,15.0,15.0,5.0
283,8.0,15.0,4.0
284,12.0,15.0,7.0
285,17.0,15.0,2.0
286,3.0,15.0,6.0
287,18.0,10.0,5.0
288,13.0,10.0,4.0
289,10.0,10.0,10.0
290,14.0,10.0,5.0
291,8.0,10.0,1.0
292,3.0,10.0,2.0
293,5.0,10.0,4.0
294,6.0,10.0,6.0
295,11.0,8.0,1.0
296,12.0,8.0,2.0
297,5.0,8.0,5.0
298,15.0,8.0,4.0
299,8.0,8.0,1.0
300,7.0,8.0,1.0
301,3.0,8.0,2.0
302,17.0,8.0,2.0
303,4.0,8.0,2.0
304,9.0,8.0,5.0
305,15.0,120.0,10.0
306,12.0,120.0,14.0
307,3.0,120.0,13.0
308,13.0,120.0,13.0
309,10.0,120.0,14.0
310,8.0,120.0,9.0
311,4.0,120.0,10.0
312,7.0,120.0,6.0
313,7.0,600.0,15.0
314,9.0,600.0,18.0
315,6.0,600.0,17.0
316,14.0,600.0,19.0
317,11.0,600.0,17.0
318,5.0,600.0,18.0
319,12.0,600.0,20.0
320,13.0,600.0,19.0
321,0.0,600.0,16.0
322,4.0,600.0,14.0
